Tiempo (s),Sensor 1,Sensor 2,Sensor 3,Sensor 4 (ambiente)
1756.64,25.94,26.06,17.69,21.62
1758.34,25.94,26.06,17.69,21.62
1760.03,25.94,26.06,17.62,21.69
1761.71,25.87,26.06,17.62,21.69
1763.41,25.94,26.06,17.62,21.62
1765.11,25.94,26.0,17.56,21.56
1766.79,25.94,26.0,17.5,21.56
1768.49,25.94,26.06,17.5,21.5
1770.18,25.94,26.06,17.5,21.5
1771.88,25.94,26.0,17.5,21.5
1773.57,25.94,26.0,17.44,21.44
1775.26,25.94,26.0,17.31,21.44
1776.95,25.87,25.94,17.31,21.37
1778.65,25.87,25.87,17.31,21.37
1780.34,25.87,25.87,17.25,21.37
1782.03,25.87,25.81,17.19,21.31
1783.72,25.87,25.75,17.19,21.31
1785.42,25.87,25.75,17.19,21.25
1787.1,25.87,25.69,17.12,21.25
1788.81,25.87,25.69,17.06,21.31
1790.5,25.81,25.69,17.06,21.31
1792.2,25.81,25.69,17.06,21.31
1793.88,25.81,25.62,17.06,21.31
1795.58,25.81,25.62,17.0,21.31
1797.26,25.81,25.62,16.94,21.25
1798.96,25.81,25.62,16.94,21.25
1800.66,25.81,25.56,16.94,21.31
1802.35,25.81,25.56,16.87,21.31
1804.05,25.75,25.5,16.87,21.31
1805.73,25.75,25.44,16.87,21.31
1807.42,25.75,25.37,16.81,21.25
1809.12,25.75,25.31,16.75,21.25
1810.81,25.75,25.31,16.75,21.25
1812.51,25.75,25.31,16.75,21.25
1814.21,25.75,25.31,16.75,21.25
1815.89,25.69,25.31,16.75,21.25
1817.59,25.69,25.31,16.75,21.25
1819.28,25.69,25.31,16.81,21.31
1820.97,25.62,25.31,16.81,21.25
1822.67,25.62,25.31,16.87,21.25
1824.37,25.62,25.25,16.87,21.25
1826.06,25.62,25.19,16.87,21.25
1827.74,25.62,25.19,16.81,21.25
1829.45,25.56,25.12,16.81,21.25
1831.14,25.62,25.06,16.81,21.25
1832.83,25.56,25.0,16.81,21.25
1834.52,25.62,25.06,16.81,21.25
1836.22,25.56,25.06,16.75,21.25
1837.91,25.56,25.0,16.81,21.25
1839.61,25.56,24.94,16.75,21.19
1841.3,25.56,24.87,16.81,21.19
1842.36,25.56,24.87,16.81,21.19
1844.05,25.56,24.81,16.81,21.12
1845.74,25.5,24.75,16.75,21.12
1847.44,25.5,24.75,16.81,21.12
1849.13,25.5,24.75,16.81,21.12
1850.82,25.5,24.69,16.81,21.12
1852.52,25.5,24.75,16.81,21.19
1854.21,25.5,24.81,16.75,21.19
1855.89,25.44,24.75,16.75,21.19
1857.6,25.44,24.69,16.69,21.19
1859.28,25.44,24.56,16.62,21.19
1860.35,25.44,24.56,16.62,21.19
1862.03,25.44,24.5,16.56,21.12
1863.74,25.44,24.44,16.56,21.12
1864.79,25.44,24.44,16.56,21.12
1866.49,25.44,24.37,16.62,21.12
1867.54,25.44,24.37,16.62,21.12
1869.24,25.44,24.31,16.62,21.12
1870.94,25.44,24.31,16.62,21.12
1872.0,25.44,24.31,16.62,21.12
1873.69,25.37,24.25,16.62,21.12
1875.38,25.44,24.25,16.69,21.06
1876.44,25.44,24.25,16.69,21.06
1878.14,25.37,24.25,16.62,21.0
1879.2,25.37,24.25,16.62,21.0
1880.88,25.31,24.06,16.56,21.0
1881.95,25.31,24.06,16.56,21.0
1883.01,25.31,24.06,16.56,21.0
1884.07,25.31,24.0,16.5,20.94
1885.77,25.31,23.94,16.44,20.94
1886.83,25.31,23.94,16.44,20.94
1888.52,25.31,23.87,16.31,20.87
1889.58,25.31,23.87,16.31,20.87
1891.27,25.25,23.81,16.25,20.87
1892.33,25.25,23.81,16.25,20.87
1894.02,25.25,23.69,16.25,20.87
1895.09,25.25,23.69,16.25,20.87
1896.15,25.25,23.69,16.25,20.81
1897.84,25.25,23.69,16.31,20.81
1899.54,25.25,23.69,16.31,20.81
1900.6,25.25,23.69,16.31,20.81
1901.65,25.19,23.69,16.31,20.81
1903.35,25.19,23.69,16.37,20.81
1904.4,25.19,23.69,16.37,20.81
1905.47,25.19,23.69,16.37,20.81
1906.52,25.19,23.62,16.37,20.81
1907.59,25.19,23.69,16.37,20.81
1908.66,25.12,23.62,16.37,20.81
1910.33,25.12,23.56,16.37,20.81
1911.41,25.12,23.56,16.37,20.81
1912.47,25.06,23.56,16.37,20.81
1913.53,25.12,23.5,16.37,20.75
1914.59,25.06,23.5,16.37,20.75
1915.65,25.06,23.5,16.37,20.81
1916.71,25.06,23.5,16.37,20.75
1917.77,25.06,23.44,16.37,20.75
1918.82,25.0,23.44,16.31,20.75
1919.89,25.0,23.44,16.31,20.75
1920.94,25.0,23.37,16.25,20.69
1922.65,25.0,23.37,16.31,20.75
1923.7,25.0,23.37,16.31,20.75
1924.77,24.94,23.37,16.31,20.75
1925.81,24.94,23.37,16.31,20.69
1926.88,24.94,23.31,16.25,20.75
1927.95,24.94,23.31,16.19,20.75
1929.01,24.94,23.31,16.25,20.75
1930.07,24.94,23.25,16.25,20.75
1931.13,24.94,23.25,16.19,20.75
1932.19,24.94,23.31,16.25,20.75
1933.87,24.94,23.25,16.25,20.81
1934.94,24.94,23.25,16.25,20.81
1936.0,24.94,23.25,16.25,20.81
1937.07,24.87,23.25,16.25,20.81
1938.12,24.87,23.19,16.25,20.81
1939.18,24.94,23.25,16.25,20.81
1940.25,24.94,23.19,16.25,20.81
1941.3,24.87,23.19,16.25,20.81
1942.37,24.87,23.19,16.25,20.81
1943.43,24.87,23.19,16.25,20.81
1945.12,24.87,23.25,16.31,20.81
1946.18,24.87,23.25,16.31,20.81
1947.24,24.87,23.25,16.25,20.81
1948.3,24.81,23.25,16.31,20.81
1949.36,24.81,23.25,16.31,20.81
1950.42,24.87,23.25,16.31,20.81
1951.48,24.81,23.25,16.31,20.81
1952.54,24.81,23.25,16.31,20.87
1953.6,24.81,23.31,16.37,20.87
1954.67,24.81,23.31,16.31,20.87
1956.36,24.81,23.37,16.31,20.94
1957.42,24.81,23.37,16.31,20.94
1958.47,24.81,23.37,16.31,20.94
1959.53,24.81,23.37,16.37,20.94
1960.6,24.81,23.37,16.37,21.0
1961.66,24.81,23.37,16.37,21.0
1962.71,24.81,23.37,16.37,21.0
1963.78,24.81,23.44,16.37,21.0
1964.84,24.75,23.37,16.44,21.0
1965.9,24.81,23.44,16.44,21.06
1967.58,24.81,23.44,16.37,21.06
1968.66,24.81,23.44,16.37,21.06
1969.71,24.81,23.44,16.44,21.0
1970.78,24.75,23.44,16.44,21.0
1971.83,24.75,23.44,16.44,21.06
1972.9,24.75,23.44,16.5,21.06
1973.96,24.75,23.5,16.5,21.06
1975.02,24.75,23.5,16.5,21.06
1976.07,24.69,23.44,16.5,21.12
1977.14,24.69,23.5,16.5,21.12
1978.84,24.69,23.44,16.5,21.12
1979.9,24.69,23.44,16.5,21.12
1980.95,24.69,23.37,16.5,21.12
1982.01,24.69,23.31,16.44,21.12
1983.06,24.69,23.31,16.5,21.06
1984.76,24.69,23.37,16.5,21.12
1985.82,24.69,23.37,16.5,21.12
1986.89,24.69,23.37,16.56,21.12
1987.95,24.69,23.37,16.56,21.12
1989.0,24.62,23.37,16.56,21.12
1990.07,24.69,23.37,16.56,21.19
1991.13,24.62,23.37,16.56,21.12
1992.18,24.69,23.37,16.56,21.19
1993.25,24.62,23.31,16.56,21.19
1994.3,24.62,23.25,16.56,21.12
1995.37,24.62,23.25,16.56,21.19
1996.44,24.62,23.25,16.56,21.12
1997.49,24.62,23.31,16.62,21.19
1998.55,24.62,23.31,16.62,21.19
2000.24,24.62,23.31,16.62,21.25
2001.31,24.62,23.31,16.62,21.25
2002.37,24.62,23.31,16.62,21.19
2003.43,24.62,23.37,16.69,21.19
2004.49,24.62,23.31,16.69,21.25
2006.18,24.56,23.37,16.69,21.25
2007.25,24.56,23.37,16.69,21.25
2008.31,24.62,23.37,16.69,21.25
2009.37,24.62,23.37,16.75,21.25
2010.42,24.62,23.37,16.75,21.25
2011.48,24.56,23.44,16.75,21.31
2012.54,24.56,23.44,16.75,21.31
2013.6,24.56,23.44,16.75,21.31
2014.66,24.56,23.44,16.75,21.31
2015.72,24.56,23.44,16.75,21.31
2016.78,24.56,23.44,16.75,21.37
2018.48,24.56,23.5,16.81,21.31
2019.54,24.56,23.5,16.81,21.31
2021.24,24.56,23.5,16.81,21.37
2022.29,24.56,23.5,16.81,21.37
2023.35,24.56,23.44,16.81,21.31
2024.41,24.56,23.37,16.81,21.37
2025.47,24.5,23.37,16.81,21.37
2026.53,24.56,23.37,16.81,21.37
2027.59,24.5,23.31,16.75,21.31
2028.66,24.56,23.25,16.75,21.31
2029.71,24.5,23.19,16.75,21.31
2030.77,24.5,23.19,16.75,21.25
2032.47,24.5,23.19,16.69,21.25
2033.52,24.5,23.19,16.69,21.25
2034.59,24.5,23.12,16.69,21.25
2035.65,24.5,23.12,16.69,21.25
2036.71,24.5,23.06,16.69,21.19
2037.78,24.44,23.0,16.69,21.19
2038.83,24.44,23.0,16.62,21.19
2039.89,24.44,23.0,16.69,21.19
2040.96,24.37,23.06,16.69,21.19
2042.02,24.37,23.06,16.69,21.19
2043.07,24.44,23.06,16.75,21.25
2044.13,24.37,23.12,16.75,21.25
2045.19,24.37,23.06,16.69,21.25
2046.25,24.37,23.12,16.69,21.25
2047.31,24.37,23.12,16.69,21.25
2048.37,24.37,23.12,16.69,21.25
2049.43,24.37,23.12,16.62,21.25
2050.5,24.37,23.12,16.62,21.19
2051.56,24.37,23.12,16.62,21.25
2053.24,24.37,23.06,16.62,21.19
2054.32,24.37,23.06,16.62,21.19
2055.36,24.37,23.06,16.62,21.19
2056.43,24.31,23.0,16.62,21.19
2057.5,24.37,23.06,16.56,21.19
2059.19,24.31,23.0,16.56,21.12
2060.25,24.31,23.0,16.56,21.12
2061.31,24.31,23.06,16.62,21.19
2062.37,24.31,23.12,16.62,21.19
2063.43,24.31,23.06,16.62,21.25
2064.49,24.31,23.12,16.69,21.25
2065.56,24.25,23.06,16.69,21.25
2066.6,24.25,23.06,16.75,21.25
2067.67,24.25,23.06,16.81,21.25
2068.73,24.19,23.0,16.81,21.25
2069.78,24.19,23.06,16.87,21.25
2070.85,24.19,23.06,16.87,21.25
2071.91,24.19,23.06,16.81,21.25
2072.98,24.25,23.06,16.87,21.25
2074.02,24.19,23.06,16.81,21.25
2075.1,24.19,23.06,16.81,21.25
2076.15,24.19,23.06,16.87,21.31
2077.22,24.19,23.06,16.87,21.31
2078.28,24.19,23.06,16.87,21.31
2079.34,24.19,23.06,16.87,21.31
2080.4,24.19,23.06,16.81,21.31
2081.46,24.19,23.0,16.81,21.25
2082.52,24.19,23.0,16.81,21.31
2083.58,24.19,22.94,16.81,21.31
2085.28,24.12,22.81,16.75,21.25
2086.33,24.12,22.81,16.75,21.25
2087.39,24.12,22.81,16.69,21.19
2088.45,24.12,22.75,16.69,21.19
2089.51,24.12,22.75,16.69,21.19
2090.57,24.12,22.75,16.62,21.12
2091.64,24.12,22.75,16.62,21.12
2092.7,24.12,22.81,16.62,21.12
2093.76,24.12,22.81,16.62,21.12
2094.82,24.12,22.81,16.62,21.12
2095.87,24.12,22.87,16.62,21.12
2096.94,24.12,22.81,16.62,21.12
2098.0,24.12,22.81,16.62,21.12
2099.06,24.06,22.81,16.56,21.12
2100.12,24.12,22.81,16.56,21.12
2101.18,24.06,22.81,16.56,21.12
2102.23,24.06,22.81,16.56,21.12
2103.3,24.06,22.81,16.56,21.12
2104.37,24.06,22.87,16.56,21.12
2106.06,24.06,22.87,16.56,21.19
2107.11,24.06,22.87,16.56,21.19
2108.18,24.06,22.87,16.62,21.19
2109.24,24.06,22.87,16.56,21.19
2110.29,24.06,22.94,16.56,21.19
2111.99,24.06,22.94,16.56,21.25
2113.04,24.06,22.94,16.56,21.25
2114.11,24.06,22.94,16.62,21.25
2115.17,24.06,22.94,16.56,21.25
2116.23,24.06,22.94,16.56,21.25
2117.3,24.06,22.94,16.56,21.25
2118.35,24.06,22.94,16.56,21.25
2119.42,24.0,22.94,16.62,21.31
2120.48,24.0,22.94,16.62,21.25
2121.53,23.94,22.94,16.69,21.31
2123.23,23.94,22.94,16.69,21.31
2124.29,23.94,22.94,16.69,21.31
2125.35,23.94,22.94,16.69,21.31
2126.4,23.94,22.94,16.69,21.31
2127.47,23.94,22.87,16.75,21.31
2129.17,23.94,22.87,16.69,21.31
2130.21,23.94,22.87,16.69,21.31
2131.28,23.87,22.87,16.75,21.31
2132.35,23.94,22.87,16.75,21.31
2133.41,23.94,22.87,16.75,21.31
2134.47,23.94,22.87,16.75,21.37
2135.52,23.94,22.81,16.75,21.31
2136.58,23.87,22.81,16.81,21.31
2137.65,23.87,22.81,16.81,21.37
2138.71,23.87,22.75,16.87,21.31
2139.76,23.87,22.75,16.87,21.31
2140.83,23.87,22.81,16.87,21.31
2141.89,23.87,22.81,16.87,21.25
2142.95,23.87,22.75,16.81,21.31
2144.0,23.87,22.69,16.75,21.25
2145.06,23.87,22.62,16.75,21.25
2146.13,23.87,22.56,16.75,21.25
2147.19,23.87,22.56,16.75,21.19
2148.25,23.81,22.56,16.75,21.19
2149.94,23.87,22.5,16.75,21.19
2150.99,23.87,22.5,16.75,21.19
2152.07,23.81,22.56,16.75,21.12
2153.13,23.87,22.56,16.75,21.19
2154.19,23.75,22.5,16.81,21.19
2155.25,23.81,22.56,16.81,21.19
2156.3,23.81,22.56,16.87,21.19
2157.37,23.75,22.56,16.87,21.19
2158.42,23.75,22.56,16.87,21.19
2159.49,23.81,22.56,16.87,21.19
2160.54,23.75,22.56,16.87,21.19
2161.61,23.75,22.56,16.87,21.25
2162.67,23.75,22.56,16.87,21.25
2163.74,23.75,22.56,16.87,21.25
2164.79,23.75,22.56,16.87,21.25
2165.84,23.75,22.56,16.81,21.25
2166.91,23.75,22.5,16.81,21.25
2167.97,23.75,22.56,16.75,21.25
2169.02,23.75,22.56,16.75,21.19
2170.72,23.75,22.56,16.81,21.19
2171.79,23.75,22.56,16.81,21.19
2172.84,23.75,22.56,16.81,21.19
2173.9,23.75,22.62,16.75,21.19
2174.97,23.69,22.56,16.75,21.25
2176.66,23.69,22.62,16.81,21.25
2177.73,23.69,22.62,16.81,21.25
2178.79,23.75,22.56,16.75,21.25
2179.84,23.69,22.56,16.75,21.19
2180.9,23.69,22.56,16.75,21.25
2181.96,23.75,22.56,16.75,21.25
2183.02,23.75,22.56,16.75,21.19
2184.08,23.75,22.56,16.75,21.25
2185.15,23.69,22.56,16.75,21.19
2186.21,23.69,22.56,16.75,21.19
2187.27,23.69,22.56,16.75,21.19
2188.33,23.69,22.62,16.75,21.19
2189.39,23.69,22.56,16.75,21.25
2190.45,23.69,22.62,16.75,21.25
2191.51,23.69,22.62,16.81,21.25
2192.56,23.69,22.62,16.81,21.25
2193.63,23.69,22.62,16.81,21.25
2194.69,23.62,22.62,16.81,21.25
2195.75,23.62,22.62,16.87,21.25
2197.44,23.62,22.56,16.87,21.31
2198.5,23.62,22.56,16.87,21.31
2199.56,23.56,22.62,16.94,21.25
2200.61,23.56,22.62,16.87,21.25
2201.69,23.56,22.62,16.87,21.25
2202.74,23.62,22.62,16.87,21.31
2203.8,23.56,22.62,16.81,21.25
2204.87,23.56,22.56,16.81,21.25
2205.93,23.56,22.5,16.75,21.25
2206.99,23.56,22.5,16.69,21.25
2208.05,23.56,22.44,16.75,21.25
2209.11,23.56,22.44,16.75,21.19
2210.17,23.56,22.44,16.75,21.19
2211.22,23.56,22.44,16.69,21.19
2212.92,23.56,22.44,16.69,21.19
2213.99,23.56,22.44,16.69,21.19
2215.04,23.56,22.44,16.69,21.19
2216.1,23.56,22.5,16.69,21.19
2217.17,23.56,22.5,16.69,21.19
2218.86,23.56,22.5,16.75,21.19
2219.92,23.56,22.5,16.75,21.19
2220.98,23.5,22.5,16.75,21.19
2222.04,23.5,22.5,16.81,21.25
2223.09,23.5,22.44,16.81,21.19
2224.16,23.5,22.5,16.81,21.19
2225.21,23.44,22.44,16.87,21.25
2226.28,23.5,22.5,16.87,21.25
2227.34,23.44,22.44,16.87,21.19
2228.4,23.44,22.44,16.87,21.25
2229.46,23.44,22.44,16.87,21.25
2230.53,23.44,22.37,16.94,21.25
2231.59,23.44,22.44,16.94,21.25
2232.64,23.44,22.37,16.94,21.25
2234.33,23.44,22.44,16.94,21.31
2235.4,23.44,22.44,16.94,21.31
2236.46,23.44,22.44,16.87,21.31
2237.52,23.44,22.37,16.87,21.31
2238.58,23.44,22.44,16.87,21.31
2239.64,23.44,22.44,16.81,21.31
2240.7,23.44,22.37,16.81,21.25
2241.76,23.44,22.37,16.81,21.25
2242.82,23.37,22.37,16.81,21.25
2243.88,23.37,22.44,16.81,21.25
2244.94,23.44,22.37,16.75,21.25
2246.01,23.37,22.37,16.81,21.25
2247.07,23.44,22.37,16.81,21.25
2248.13,23.37,22.37,16.81,21.25
2249.18,23.37,22.37,16.81,21.25
2250.25,23.37,22.44,16.81,21.25
2251.31,23.37,22.37,16.81,21.31
2252.36,23.37,22.37,16.81,21.31
2253.42,23.37,22.37,16.75,21.31
2255.12,23.37,22.37,16.75,21.25
2256.18,23.37,22.37,16.75,21.25
2257.24,23.37,22.31,16.62,21.19
2258.3,23.37,22.25,16.62,21.19
2259.36,23.31,22.25,16.56,21.12
2261.05,23.31,22.19,16.5,21.0
2262.11,23.31,22.19,16.5,21.0
2263.18,23.31,22.06,16.44,20.94
2264.24,23.25,22.06,16.44,20.94
2265.29,23.25,22.0,16.44,20.94
2266.99,23.25,22.0,16.44,20.87
2268.05,23.25,22.0,16.44,20.87
2269.12,23.31,21.87,16.37,20.81
2270.18,23.25,21.87,16.31,20.81
2271.23,23.25,21.75,16.31,20.81
2272.29,23.25,21.75,16.31,20.81
2273.36,23.25,21.75,16.25,20.75
2274.41,23.25,21.69,16.25,20.75
2275.47,23.19,21.62,16.19,20.69
2276.53,23.19,21.62,16.12,20.69
2278.22,23.19,21.5,16.12,20.62
2279.28,23.19,21.5,16.12,20.62
2280.35,23.12,21.44,16.06,20.62
2281.41,23.12,21.5,16.0,20.62
2282.47,23.12,21.5,16.0,20.56
2283.53,23.12,21.5,16.0,20.56
2284.59,23.12,21.44,16.0,20.56
2285.65,23.12,21.44,15.94,20.56
2286.72,23.12,21.44,15.94,20.56
2287.76,23.12,21.44,15.94,20.56
2288.82,23.12,21.44,15.88,20.56
2289.88,23.12,21.44,15.88,20.5
2290.95,23.06,21.37,15.88,20.56
2292.01,23.06,21.31,15.88,20.5
2293.07,23.06,21.31,15.88,20.5
2294.77,23.06,21.25,15.81,20.44
2296.46,23.0,21.19,15.88,20.44
2298.16,23.0,21.12,15.88,20.37
2299.21,23.0,21.12,15.88,20.37
2300.26,23.0,21.19,15.81,20.37
2301.34,23.0,21.19,15.81,20.37
2302.4,23.0,21.12,15.81,20.37
2303.46,23.0,21.19,15.81,20.44
2304.52,23.0,21.12,15.81,20.44
2305.58,23.0,21.12,15.81,20.37
2306.64,22.94,21.12,15.81,20.37
2307.7,23.0,21.12,15.81,20.44
2308.76,23.0,21.12,15.88,20.44
2310.45,23.0,21.19,15.81,20.44
2311.5,23.0,21.19,15.81,20.44
2312.57,23.0,21.12,15.81,20.44
2313.64,23.0,21.12,15.81,20.44
2314.7,23.0,21.12,15.81,20.44
2315.76,23.0,21.06,15.81,20.44
2317.44,23.0,21.12,15.81,20.44
2318.5,23.0,21.12,15.81,20.44
2319.57,23.0,21.12,15.75,20.44
2320.63,22.94,21.12,15.75,20.5
2321.69,23.0,21.06,15.69,20.5
2322.75,22.94,21.06,15.69,20.5
2323.82,23.0,21.06,15.69,20.5
2324.88,22.94,21.0,15.69,20.5
2325.94,23.0,21.0,15.69,20.5
2326.98,22.94,21.0,15.69,20.5
2328.06,22.94,21.0,15.63,20.5
2329.74,22.94,21.0,15.69,20.5
2330.81,22.94,21.0,15.69,20.5
2331.87,22.94,21.0,15.63,20.5
2332.92,22.94,21.0,15.63,20.5
2333.98,22.94,21.0,15.63,20.5
2335.05,22.94,21.06,15.63,20.56
2336.75,22.94,21.06,15.69,20.56
2337.8,22.94,21.06,15.69,20.56
2338.87,22.94,21.12,15.63,20.56
2339.92,22.94,21.12,15.63,20.56
2340.98,22.94,21.12,15.63,20.56
2342.05,22.94,21.12,15.63,20.56
2343.74,22.94,21.12,15.63,20.56
2344.8,22.94,21.12,15.63,20.56
2345.86,22.94,21.12,15.63,20.62
2346.92,22.94,21.12,15.56,20.62
2347.97,22.94,21.12,15.56,20.62
2349.04,22.94,21.19,15.63,20.62
2350.09,22.94,21.19,15.56,20.62
2351.16,22.94,21.19,15.56,20.62
2352.22,22.94,21.19,15.56,20.62
2353.28,22.94,21.25,15.56,20.62
2354.35,22.94,21.25,15.56,20.62
2355.4,22.94,21.25,15.56,20.69
2356.47,22.94,21.25,15.63,20.69
2357.53,22.94,21.25,15.56,20.69
2358.58,22.94,21.19,15.56,20.62
2359.64,22.94,21.19,15.56,20.69
2361.34,22.94,21.19,15.56,20.62
2362.4,22.94,21.19,15.56,20.62
2363.46,22.94,21.12,15.63,20.69
2364.52,22.94,21.12,15.63,20.62
2365.59,22.94,21.19,15.63,20.62
2366.64,22.94,21.19,15.63,20.62
2367.71,22.94,21.12,15.69,20.62
2368.76,22.94,21.12,15.69,20.56
2369.83,22.94,21.19,15.69,20.62
2370.88,22.94,21.19,15.69,20.62
2371.94,22.94,21.12,15.69,20.56
2373.0,22.94,21.12,15.69,20.56
2374.06,22.94,21.12,15.75,20.56
